priorityIndex,batch,term,canonicalTerm,valueTier,recommendedTier,learningPriority,contentCategory,frequency,score,sourceStatus,sourceGlobalIndex,wordList,unit,unitIndex,sourceOccurrences,audioFile,start,end
90,1,warranty,warranty,receptive,active,high,forms-services,3.73,3.73,ready,683,2,2,89,1,ysgpc/Word List2/Word List2-Unit2.mp3,240.9,241.53
91,1,wholesale,wholesale,receptive,active,high,forms-services,3.97,3.97,ready,1819,4,4,40,1,ysgpc/Word List4/Word List4-Unit4.mp3,110.36,110.99
92,1,vacant,vacant,receptive,active,high,forms-services,3.8,3.8,ready,951,2,5,60,1,ysgpc/Word List2/Word List2-Unit5.mp3,164.33,164.92
93,1,vendor,vendor,receptive,active,high,forms-services,3.79,3.79,ready,3286,7,4,23,1,ysgpc/Word List7/Word List7-Unit4.mp3,65.0,65.51
94,1,active,active,active,active,high,work-money,4.93,4.93,ready,2530,6,1,57,1,ysgpc/Word List6/Word List6-Unit1.mp3,155.07,155.62
95,1,advance,advance,active,active,high,work-money,4.65,4.65,ready,1944,4,5,66,1,ysgpc/Word List4/Word List4-Unit5.mp3,183.64,184.33
96,1,advantage,advantage,active,active,high,work-money,4.78,4.78,ready,892,2,5,1,1,ysgpc/Word List2/Word List2-Unit5.mp3,8.39,9.15
97,1,aid,aid,active,active,high,work-money,4.75,4.75,ready,2791,6,4,20,1,ysgpc/Word List6/Word List6-Unit4.mp3,58.08,58.47
98,1,alert,alert,active,active,high,work-money,4.33,4.33,ready,1722,4,3,41,1,ysgpc/Word List4/Word List4-Unit3.mp3,112.23,112.8
99,1,appreciate,appreciate,active,active,high,work-money,4.74,4.74,ready,2662,6,2,89,1,ysgpc/Word List6/Word List6-Unit2.mp3,240.16,240.95
100,1,barrier,barrier,active,active,high,work-money,4.15,4.15,ready,404,1,5,8,1,ysgpc/Word List1/Word List1-Unit5.mp3,25.79,26.25
101,1,behalf,behalf,active,active,high,work-money,4.42,4.42,ready,2194,5,3,18,1,ysgpc/Word List5/Word List5-Unit3.mp3,52.85,53.44
102,1,brief,brief,active,active,high,work-money,4.52,4.52,ready,2260,5,3,84,1,ysgpc/Word List5/Word List5-Unit3.mp3,226.1,226.54
103,1,capable,capable,active,active,high,work-money,4.61,4.61,ready,1124,3,2,37,1,ysgpc/Word List3/Word List3-Unit2.mp3,103.23,103.72
104,1,caution,caution,receptive,active,high,work-money,3.97,3.97,ready,2366,5,4,91,1,ysgpc/Word List5/Word List5-Unit4.mp3,244.94,245.45
105,1,collaboration,collaboration,active,active,high,work-money,4.28,4.28,ready,1818,4,4,39,1,ysgpc/Word List4/Word List4-Unit4.mp3,107.55,108.31
106,1,compromise,compromise,active,active,high,work-money,4.15,4.15,ready,2738,6,3,66,1,ysgpc/Word List6/Word List6-Unit3.mp3,178.81,179.52
107,1,cooperation,cooperation,active,active,high,work-money,4.3,4.3,ready,1293,3,4,8,1,ysgpc/Word List3/Word List3-Unit4.mp3,27.12,27.9
108,1,crucial,crucial,active,active,high,work-money,4.28,4.28,ready,2549,6,1,76,1,ysgpc/Word List6/Word List6-Unit1.mp3,204.26,204.78
109,1,determine,determine,active,active,high,work-money,4.63,4.63,ready,2954,6,5,84,1,ysgpc/Word List6/Word List6-Unit5.mp3,224.97,225.57
110,1,district,district,active,active,high,work-money,5.04,5.04,ready,3424,7,5,62,1,ysgpc/Word List7/Word List7-Unit5.mp3,168.56,169.13
111,1,employ,employ,receptive,active,high,work-money,3.96,3.96,ready,1441,3,5,57,1,ysgpc/Word List3/Word List3-Unit5.mp3,157.22,157.75
112,1,encourage,encourage,active,active,high,work-money,4.45,4.45,ready,47,1,1,47,1,ysgpc/Word List1/Word List1-Unit1.mp3,126.1,126.78
113,1,fund,fund,active,active,high,work-money,4.82,4.82,ready,1495,4,1,12,1,ysgpc/Word List4/Word List4-Unit1.mp3,36.44,36.98
114,1,hire,hire,active,active,high,work-money,4.4,4.4,ready,44,1,1,44,1,ysgpc/Word List1/Word List1-Unit1.mp3,118.11,118.53
115,1,income,income,active,active,high,work-money,4.97,4.97,ready,303,1,4,4,1,ysgpc/Word List1/Word List1-Unit4.mp3,15.13,15.63
116,1,infrastructure,infrastructure,active,active,high,work-money,4.46,4.46,ready,2203,5,3,27,1,ysgpc/Word List5/Word List5-Unit3.mp3,77.56,78.37
117,1,initiative,initiative,active,active,high,work-money,4.36,4.36,ready,141,1,2,40,1,ysgpc/Word List1/Word List1-Unit2.mp3,111.06,111.72
118,1,lease,lease,active,active,high,work-money,4.17,4.17,ready,3044,7,1,75,1,ysgpc/Word List7/Word List7-Unit1.mp3,200.83,201.29
119,1,liability,liability,active,active,high,work-money,4.16,4.16,ready,226,1,3,26,1,ysgpc/Word List1/Word List1-Unit3.mp3,74.1,74.88
